ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate      
2500,Alabama,06-01-2020,18630,646,9355.0,8629.0,379.95710951147066,223523.0,1856.0,3.467525496511004,4558.730702594334,9.962426194310252
2501,Alaska,06-01-2020,466,10,368.0,88.0,63.70079762694024,54190.0,,2.145922746781116,7407.60992146758,
2502,Arizona,06-01-2020,20129,918,4869.0,14342.0,276.5459901793132,228070.0,3018.0,4.5605842317055,3133.381885846091,14.993293258482788
2503,Arkansas,06-01-2020,7443,133,5401.0,1909.0,246.6362957965461,133236.0,711.0,1.786913878812307,4414.998455830796,9.552599758162033
2504,California,06-01-2020,114733,4217,,110516.0,290.37343710071684,2012583.0,,3.675490050813628,5093.570665462179,
2505,Colorado,06-01-2020,26563,1458,3919.0,21186.0,461.2644163580341,186376.0,4347.0,5.488837857169749,3236.404655466061,16.364868426006094
2506,Connecticut,06-01-2020,42740,3970,7511.0,31259.0,1198.7814725714932,261390.0,13793.0,9.288722508189052,7331.527588101603,32.27187646233037
2507,Delaware,06-01-2020,9605,368,5353.0,3884.0,986.3786297295854,62447.0,,3.831337844872462,6412.950160408476,
2508,Florida,06-01-2020,56830,2460,,54370.0,264.5995711745609,1040400.0,10494.0,4.328699630476861,4844.085761921751,18.465599155375678
2509,Georgia,06-01-2020,47902,2094,,45808.0,451.1640913242319,471631.0,8127.0,4.371424992693416,4442.0477549024845,16.96588868940754
2510,Hawaii,06-01-2020,652,17,608.0,27.0,46.049360394159926,48487.0,83.0,2.607361963190184,3424.5327261221355,12.730061349693253
2511,Idaho,06-01-2020,2839,82,2248.0,509.0,158.86383539490728,46697.0,242.0,2.8883409651285663,2613.0554848312736,8.524128214159916
2512,Illinois,06-01-2020,121234,5412,,115822.0,956.721216311373,918273.0,,4.464094230991307,7246.574900324113,
2513,Indiana,06-01-2020,34830,2143,22224.0,10463.0,517.362848713032,265896.0,5860.0,6.1527418891759975,3949.604134981349,16.824576514498993
2514,Iowa,06-01-2020,19699,555,11440.0,7704.0,624.3601568269484,159081.0,,2.8174018985735314,5042.07513620934,
2515,Kansas,06-01-2020,9920,217,547.0,9156.0,340.5056921430371,95241.0,842.0,2.1875,3269.163571108367,8.487903225806452
2516,Kentucky,06-01-2020,10046,439,3232.0,6375.0,224.85978718675247,216046.0,2274.0,4.369898467051564,4835.761256475127,22.63587497511447
2517,Louisiana,06-01-2020,40341,2801,31728.0,5812.0,867.7734483395049,387370.0,,6.943308296770035,8332.698760151558,
2518,Maine,06-01-2020,2349,89,1586.0,674.0,174.74922110500427,49633.0,284.0,3.7888463175819496,3692.349123501353,12.09025117071094
2519,Maryland,06-01-2020,53327,2552,3782.0,46993.0,882.0678567175238,308730.0,8886.0,4.78556828623399,5106.621587646056,16.663228758415062
2520,Massachusetts,06-01-2020,100805,7035,,93770.0,1462.5311008207034,592853.0,9823.0,6.978820495015127,8601.418091511894,9.744556321611029
2521,Michigan,06-01-2020,57532,5516,38099.0,13917.0,576.0771381827135,568023.0,,9.587707710491552,5687.705351143008,
